goos: linux
goarch: amd64
pkg: cw
cpu: AMD Ryzen 5 5500U with Radeon Graphics         
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   71742	     15490 ns/op	     809 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   75337	     15336 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   73917	     15376 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   74762	     15559 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   75392	     15548 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   74184	     16121 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   74845	     15372 ns/op	     809 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   76045	     15445 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   75853	     16042 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   75249	     15577 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   75759	     15632 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   74565	     15378 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   74388	     15685 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   73988	     15528 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   72999	     15521 ns/op	     809 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   73978	     15681 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   74563	     15581 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   74002	     15642 ns/op	     812 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   72549	     15648 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   73124	     15877 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   73030	     15893 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   73365	     16150 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   73269	     15769 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   73188	     16557 ns/op	     812 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   72098	     15632 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   73227	     15686 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   72824	     15549 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   72220	     15798 ns/op	     812 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   73165	     15968 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   73276	     15713 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   71775	     15716 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   70212	     15756 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   73144	     15770 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   70167	     15774 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   71218	     15821 ns/op	     815 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   76315	     15746 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   69894	     15696 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   71894	     15874 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   71590	     15936 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   72590	     15717 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   70189	     15939 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   74336	     15889 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   69967	     15733 ns/op	     815 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   72273	     15761 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   73664	     15724 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   70790	     16054 ns/op	     818 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   71834	     15698 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   70604	     15797 ns/op	     818 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   72102	     15856 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   71337	     15933 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   72288	     15979 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   71240	     15809 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   71776	     15997 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   70892	     15901 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   69421	     15743 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   71872	     15903 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   73016	     15795 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   70489	     15944 ns/op	     818 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   71851	     15701 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   68800	     15863 ns/op	     818 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   68448	     15976 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   69474	     15983 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   72830	     16001 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   71748	     15887 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   69811	     16024 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   70671	     16046 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   70216	     15911 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   68419	     16001 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   70927	     16094 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   69765	     16165 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   69430	     15808 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   69247	     15959 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   69891	     16142 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   68710	     15889 ns/op	     821 B/op	      16 allocs/op
