goos: linux
goarch: amd64
pkg: cw
cpu: AMD Ryzen 5 5500U with Radeon Graphics         
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   71737	     15615 ns/op	     809 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   73674	     15474 ns/op	     809 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   72345	     15878 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   73104	     15578 ns/op	     809 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   74060	     15489 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   73131	     15600 ns/op	     809 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   75356	     15402 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   75758	     15465 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   76201	     15747 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   73815	     15481 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   74971	     15909 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   75332	     15386 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   73910	     15688 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   74306	     15620 ns/op	     809 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   74160	     15476 ns/op	     809 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   75502	     15689 ns/op	     815 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   72591	     15668 ns/op	     812 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   72576	     15720 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   73208	     15713 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   73495	     15669 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   71946	     15819 ns/op	     812 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   73198	     15625 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   73096	     15701 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   74620	     15749 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   69861	     15625 ns/op	     812 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   74314	     15887 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   73786	     15565 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   72542	     15839 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   74323	     15632 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   72910	     15630 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   71943	     15838 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   73048	     15951 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   72404	     15803 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   74079	     16004 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   69136	     16408 ns/op	     815 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   69530	     15971 ns/op	     815 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   74151	     15682 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   71418	     15840 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   72471	     15775 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   71481	     15954 ns/op	     815 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   72818	     15773 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   70197	     15727 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   69642	     16014 ns/op	     815 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   72619	     15949 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   71515	     15924 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   69718	     15836 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   69534	     16196 ns/op	     818 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   70657	     15987 ns/op	     818 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   70791	     16106 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   71288	     16012 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   72033	     15951 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   67122	     15948 ns/op	     818 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   70508	     15871 ns/op	     818 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   70080	     15806 ns/op	     818 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   69886	     16022 ns/op	     818 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   72282	     15873 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   71037	     16439 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   69788	     15863 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   70628	     16024 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   71247	     16096 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   66253	     15780 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   67272	     16002 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   67402	     15981 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   67772	     16054 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   69052	     15905 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   70682	     16695 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   69709	     16198 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   68863	     15960 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   71322	     16152 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   71838	     16063 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   67332	     16185 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   71154	     16257 ns/op	     820 B/op	      16 allocs/op
