goos: linux
goarch: amd64
pkg: cw
cpu: AMD Ryzen 5 5500U with Radeon Graphics         
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   72920	     15459 ns/op	     809 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   72860	     15554 ns/op	     809 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   75277	     15583 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   72051	     15424 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   73382	     15737 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   72063	     15595 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   73867	     15733 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   72842	     15598 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   71362	     15742 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   72652	     15688 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   71854	     15770 ns/op	     815 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   73078	     15716 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   71022	     16294 ns/op	     815 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   72790	     15779 ns/op	     815 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   73714	     15803 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   70837	     16193 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   70296	     16009 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   69271	     16024 ns/op	     818 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   71534	     15929 ns/op	     818 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   71479	     15854 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   69834	     15952 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   72510	     16039 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   68181	     15886 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   69126	     16119 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   71257	     15916 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   68448	     16171 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   64903	     16054 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   67056	     15980 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   68094	     16041 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   67568	     15959 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   65589	     16126 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   65524	     16251 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   63691	     16223 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   64222	     16083 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   64158	     16003 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   62918	     16518 ns/op	     837 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   63291	     16218 ns/op	     833 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   66462	     16323 ns/op	     831 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   65197	     16108 ns/op	     831 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   66313	     16388 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   64903	     16135 ns/op	     843 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   64294	     16456 ns/op	     836 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   60738	     16738 ns/op	     837 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   65067	     17123 ns/op	     835 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   65074	     16369 ns/op	     835 B/op	      16 allocs/op
