goos: linux
goarch: amd64
pkg: cw
cpu: AMD Ryzen 5 5500U with Radeon Graphics         
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   49725	     24639 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   53652	     20327 ns/op	     810 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   58920	     21416 ns/op	     809 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   52976	     21239 ns/op	     810 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   55632	     22613 ns/op	     810 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   56487	     20994 ns/op	     809 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   55468	     24024 ns/op	     810 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   51734	     21728 ns/op	     810 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   54610	     21647 ns/op	     810 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   55064	     22510 ns/op	     810 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/250_workers-12         	   55377	     21880 ns/op	     813 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/250_workers-12         	   53695	     25830 ns/op	     812 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/250_workers-12         	   48091	     22383 ns/op	     813 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/250_workers-12         	   47943	     21518 ns/op	     813 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/250_workers-12         	   52107	     23370 ns/op	     812 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/250_workers-12         	   56448	     23151 ns/op	     812 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/250_workers-12         	   54087	     23628 ns/op	     812 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/250_workers-12         	   55878	     22471 ns/op	     812 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/250_workers-12         	   52087	     24528 ns/op	     812 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/250_workers-12         	   56830	     22166 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   51049	     22345 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   51166	     21988 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   51433	     23214 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   51735	     23330 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   51598	     22565 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   55707	     23103 ns/op	     813 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   47962	     23004 ns/op	     815 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   51220	     23321 ns/op	     815 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   51948	     23562 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/300_workers-12         	   51339	     23615 ns/op	     814 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/350_workers-12         	   46598	     23830 ns/op	     823 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/350_workers-12         	   48130	     23453 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/350_workers-12         	   46345	     24060 ns/op	     818 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/350_workers-12         	   48453	     24361 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/350_workers-12         	   47576	     23934 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/350_workers-12         	   51304	     23196 ns/op	     816 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/350_workers-12         	   50120	     24794 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/350_workers-12         	   47641	     24267 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/350_workers-12         	   44935	     24037 ns/op	     818 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/350_workers-12         	   49962	     24641 ns/op	     817 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   50620	     23645 ns/op	     819 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   45072	     24203 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   47766	     22711 ns/op	     819 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   48652	     24139 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   47703	     24518 ns/op	     820 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   50148	     23659 ns/op	     819 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   42705	     24462 ns/op	     822 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   43506	     23367 ns/op	     822 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   44467	     25153 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/400_workers-12         	   42355	     25334 ns/op	     822 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/450_workers-12         	   49963	     24675 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/450_workers-12         	   45774	     24770 ns/op	     822 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/450_workers-12         	   50281	     24470 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/450_workers-12         	   41312	     24232 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/450_workers-12         	   42945	     24804 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/450_workers-12         	   48108	     24073 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/450_workers-12         	   48260	     25054 ns/op	     822 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/450_workers-12         	   47406	     23682 ns/op	     822 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/450_workers-12         	   49569	     25472 ns/op	     821 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/450_workers-12         	   47036	     23844 ns/op	     822 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   50866	     25065 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   43867	     24441 ns/op	     826 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   43324	     23743 ns/op	     827 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   47569	     24853 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   46308	     23991 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   48170	     23869 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   45319	     24451 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   44656	     24956 ns/op	     826 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   46597	     24342 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/500_workers-12         	   49957	     24467 ns/op	     823 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/550_workers-12         	   47922	     24866 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/550_workers-12         	   47344	     23707 ns/op	     827 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/550_workers-12         	   48534	     23821 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/550_workers-12         	   45450	     25461 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/550_workers-12         	   41487	     28187 ns/op	     830 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/550_workers-12         	   46518	     24135 ns/op	     827 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/550_workers-12         	   46580	     23893 ns/op	     827 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/550_workers-12         	   46468	     23617 ns/op	     827 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/550_workers-12         	   46000	     24860 ns/op	     827 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/550_workers-12         	   49336	     24161 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   49626	     25243 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   49562	     24529 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   45649	     25780 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   45622	     24416 ns/op	     830 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   50362	     25192 ns/op	     827 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   50126	     24544 ns/op	     827 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   48062	     23539 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   49243	     24314 ns/op	     827 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   47739	     24517 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   45673	     25124 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/650_workers-12         	   41943	     24926 ns/op	     834 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/650_workers-12         	   46533	     24375 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/650_workers-12         	   48000	     24764 ns/op	     831 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/650_workers-12         	   43692	     24697 ns/op	     833 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/650_workers-12         	   45331	     24782 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/650_workers-12         	   46576	     25334 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/650_workers-12         	   41768	     24042 ns/op	     834 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/650_workers-12         	   45562	     25576 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/650_workers-12         	   44721	     24066 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/650_workers-12         	   44620	     25966 ns/op	     833 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   48158	     24156 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   44370	     24715 ns/op	     836 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   45703	     24797 ns/op	     834 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   44624	     25464 ns/op	     835 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   44881	     23345 ns/op	     835 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   42525	     25526 ns/op	     836 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   46195	     24680 ns/op	     834 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   41064	     24905 ns/op	     838 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   40870	     25135 ns/op	     838 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   46725	     25478 ns/op	     833 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/750_workers-12         	   51477	     24991 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/750_workers-12         	   44341	     24522 ns/op	     837 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/750_workers-12         	   44977	     26808 ns/op	     837 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/750_workers-12         	   43508	     26153 ns/op	     838 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/750_workers-12         	   43995	     25386 ns/op	     838 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/750_workers-12         	   43156	     23937 ns/op	     839 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/750_workers-12         	   41700	     24489 ns/op	     840 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/750_workers-12         	   43608	     24785 ns/op	     838 B/op	      16 allocs/op
