goos: linux
goarch: amd64
pkg: cw
cpu: AMD Ryzen 5 5500U with Radeon Graphics         
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   65470	     17319 ns/op	     809 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   80560	     15920 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   90295	     15103 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   80425	     14945 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   77796	     18917 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   69109	     16807 ns/op	     809 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   63358	     16065 ns/op	     809 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   69493	     19413 ns/op	     808 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   59396	     18752 ns/op	     809 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/200_workers-12         	   65215	     18853 ns/op	     809 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/250_workers-12         	   58083	     18084 ns/op	     812 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/250_workers-12         	   56166	     19236 ns/op	     812 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/250_workers-12         	   56835	     21461 ns/op	     812 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/250_workers-12         	   64896	     19428 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/250_workers-12         	   51362	     19965 ns/op	     812 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/250_workers-12         	   67843	     19701 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/250_workers-12         	   59700	     20103 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/250_workers-12         	   55005	     21245 ns/op	     812 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/250_workers-12         	   57177	     21187 ns/op	     811 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/250_workers-12         	   60732	     19802 ns/op	     811 B/op	      16 allocs/op
