id,screen_type_id,name,description
abfab99e-fd61-4782-a907-97b297c4ca74,a41ae574-518b-4ced-8a55-48e06d89e10d,Hall 1,Sample English description 1.
d9130d7c-e87e-4f52-99ff-ea84234f6f29,c6058ed4-cdb4-4328-a606-875252542237,Hall 2,Sample English description 2.
9174df91-bbab-4a3a-96e4-a815df880a07,7e36731f-8a79-4a4f-ba2f-515ff534f0cb,Hall 3,Sample English description 3.
92a96396-ac33-4bb2-a703-f8aa43bff351,c6058ed4-cdb4-4328-a606-875252542237,Hall 4,Sample English description 4.
05e81d16-559b-47bb-82e3-b8530bdbc109,50ed1cbf-9c19-43fa-8992-d811bf77ccc4,Hall 5,Sample English description 5.
e16750c4-717c-432b-a04f-f09f675691f5,7e36731f-8a79-4a4f-ba2f-515ff534f0cb,Hall 6,Sample English description 6.
5b670ca6-a7e4-4c56-ad9d-3cd266bbfaac,7e36731f-8a79-4a4f-ba2f-515ff534f0cb,Hall 7,Sample English description 7.
c545ee76-5ce3-4683-a6f2-7918ea4b9601,50ed1cbf-9c19-43fa-8992-d811bf77ccc4,Hall 8,Sample English description 8.
f143c984-3849-40d5-a2b0-6d9ed37bc07e,c6058ed4-cdb4-4328-a606-875252542237,Hall 9,Sample English description 9.
b385ae30-ab5d-4d1d-922b-1baee7f11e02,7e36731f-8a79-4a4f-ba2f-515ff534f0cb,Hall 10,Sample English description 10.
