id,hall_id,seat_type_id,row_number,seat_number
72775323-c776-4e00-9a56-732c61c937be,abfab99e-fd61-4782-a907-97b297c4ca74,28c21e10-d600-4572-94bb-34a6a64dc5f0,1,1
1c8569d2-050a-4c26-a2e6-eccb195e6e1f,abfab99e-fd61-4782-a907-97b297c4ca74,febbe127-2135-4fc4-a056-f6cd1fb27f6c,1,2
2614e89d-45ff-44ab-8d84-191e01513b89,abfab99e-fd61-4782-a907-97b297c4ca74,28c21e10-d600-4572-94bb-34a6a64dc5f0,1,3
5ba479f1-6a16-4b20-9d41-ce915695da26,abfab99e-fd61-4782-a907-97b297c4ca74,febbe127-2135-4fc4-a056-f6cd1fb27f6c,1,4
1e1e30a1-b161-4c38-8bfc-7c78326bed80,abfab99e-fd61-4782-a907-97b297c4ca74,28c21e10-d600-4572-94bb-34a6a64dc5f0,1,5
c41a9daf-e9c9-44e5-959c-02c31b5a22e7,abfab99e-fd61-4782-a907-97b297c4ca74,0cf4d8de-f712-40b4-bcc8-83abb02ed7e3,1,6
f3d7256a-0f81-43b2-94f8-e8421065be08,abfab99e-fd61-4782-a907-97b297c4ca74,0cf4d8de-f712-40b4-bcc8-83abb02ed7e3,1,7
747ce553-927b-46f7-a1f3-7a08cd2f8ada,abfab99e-fd61-4782-a907-97b297c4ca74,febbe127-2135-4fc4-a056-f6cd1fb27f6c,1,8
64f775f7-fafb-4e88-a13e-5aef7f497f10,abfab99e-fd61-4782-a907-97b297c4ca74,0cf4d8de-f712-40b4-bcc8-83abb02ed7e3,1,9
064f27f1-374c-4f6b-aa8d-f268dc5c296a,abfab99e-fd61-4782-a907-97b297c4ca74,28c21e10-d600-4572-94bb-34a6a64dc5f0,1,10
df537b6d-1574-4185-9ce5-a1f7322db51e,abfab99e-fd61-4782-a907-97b297c4ca74,d26e87e0-0087-41c6-8065-6aad5d978a3e,2,1
3a6eaf46-9a2c-4bd1-bd10-d198c724934c,abfab99e-fd61-4782-a907-97b297c4ca74,d26e87e0-0087-41c6-8065-6aad5d978a3e,2,2
218db7e9-ee18-430b-816a-5cef28d967a7,abfab99e-fd61-4782-a907-97b297c4ca74,febbe127-2135-4fc4-a056-f6cd1fb27f6c,2,3
1b7ffb12-a722-484e-8ff0-826be7aad3ac,abfab99e-fd61-4782-a907-97b297c4ca74,febbe127-2135-4fc4-a056-f6cd1fb27f6c,2,4
270f9e72-486d-443d-b225-8645f57500ae,abfab99e-fd61-4782-a907-97b297c4ca74,0cf4d8de-f712-40b4-bcc8-83abb02ed7e3,2,5
5869de85-00ae-486e-a421-c7962e9e149f,abfab99e-fd61-4782-a907-97b297c4ca74,28c21e10-d600-4572-94bb-34a6a64dc5f0,2,6
048db34f-a624-486a-90b6-515a61b135aa,abfab99e-fd61-4782-a907-97b297c4ca74,0cf4d8de-f712-40b4-bcc8-83abb02ed7e3,2,7
35aff3e5-f04b-40c1-82d5-9cd6e619e1d4,abfab99e-fd61-4782-a907-97b297c4ca74,d26e87e0-0087-41c6-8065-6aad5d978a3e,2,8
5885a84e-dac7-4bac-bc7e-c77a971b11c6,abfab99e-fd61-4782-a907-97b297c4ca74,d26e87e0-0087-41c6-8065-6aad5d978a3e,2,9
0ceb6d00-6ebf-4955-a37a-9217d9ce9a02,abfab99e-fd61-4782-a907-97b297c4ca74,0cf4d8de-f712-40b4-bcc8-83abb02ed7e3,2,10
0d29f3d0-a75e-4498-b977-443e0426fe8d,abfab99e-fd61-4782-a907-97b297c4ca74,28c21e10-d600-4572-94bb-34a6a64dc5f0,3,1
bc957e53-cd98-4fd5-beb2-5ecf14277c01,abfab99e-fd61-4782-a907-97b297c4ca74,28c21e10-d600-4572-94bb-34a6a64dc5f0,3,2
8202a3a7-f4ea-4e0f-b974-2d8cf3605963,abfab99e-fd61-4782-a907-97b297c4ca74,d26e87e0-0087-41c6-8065-6aad5d978a3e,3,3
28ee7af2-9e4b-490b-bd86-56b80c3b4c64,abfab99e-fd61-4782-a907-97b297c4ca74,d26e87e0-0087-41c6-8065-6aad5d978a3e,3,4
6ed1ff01-dd04-4012-ace7-8592c1a8f98e,abfab99e-fd61-4782-a907-97b297c4ca74,0cf4d8de-f712-40b4-bcc8-83abb02ed7e3,3,5
bf0a4003-d8a2-4bec-8dca-4f60f1bbb677,abfab99e-fd61-4782-a907-97b297c4ca74,0cf4d8de-f712-40b4-bcc8-83abb02ed7e3,3,6
8c4808a4-d512-4cf8-baf7-7e43d6e7b5d5,abfab99e-fd61-4782-a907-97b297c4ca74,febbe127-2135-4fc4-a056-f6cd1fb27f6c,3,7
e7a8b7b8-155d-43e5-892e-df2a14f16dec,abfab99e-fd61-4782-a907-97b297c4ca74,febbe127-2135-4fc4-a056-f6cd1fb27f6c,3,8
b820b539-3555-4811-b9f0-82f88ad41587,abfab99e-fd61-4782-a907-97b297c4ca74,28c21e10-d600-4572-94bb-34a6a64dc5f0,3,9
efb0cd31-0be2-426d-8ef1-7e2c6014d38e,abfab99e-fd61-4782-a907-97b297c4ca74,28c21e10-d600-4572-94bb-34a6a64dc5f0,3,10
af028b69-bae3-44c1-8092-b1e79e566870,abfab99e-fd61-4782-a907-97b297c4ca74,d26e87e0-0087-41c6-8065-6aad5d978a3e,4,1
